Date,Impressions,CTR,Clicks,CPC,Cost,ROI,Revenue,Device,Market
2023-01-01,7897423,0.947,7478859,1.07,8002379.13,0.84,6721998.469,Mobile,PT
2023-01-01,5465788,0.315,1721723,1.455,2505106.965,0.826,2069218.353,Mobile,BR
2023-01-01,3919734,0.217,850582,1.33,1131274.06,1.549,1752343.519,Desktop,VN
2023-01-01,2074895,0.511,1060271,0.167,177065.257,1.002,177419.388,Desktop,DK
2023-01-01,4884158,0.89,4346900,1.072,4659876.8,1.478,6887297.91,Mobile,IT
2023-01-01,7368763,0.822,6057123,2.019,12229331.337,1.351,16521826.636,Mobile,AE
2023-01-01,9757584,0.397,3873760,0.363,1406174.88,1.189,1671941.932,Mobile,UK
2023-01-01,8658733,0.8,6926986,1.001,6933912.986,1.283,8896210.361,Desktop,AU
2023-01-01,3931407,0.783,3078291,0.288,886547.808,0.944,836901.131,Mobile,VN
2023-01-01,5029521,0.302,1518915,0.949,1441450.335,1.485,2140553.747,Desktop,MX
2023-01-01,2406156,0.632,1520690,0.811,1233279.59,1.141,1407172.012,Mobile,ID
2023-01-01,6760144,0.979,6618180,0.555,3673089.9,1.35,4958671.365,Desktop,AT
2023-01-01,5310048,0.774,4109977,0.238,978174.526,0.821,803081.286,Mobile,PT
2023-01-01,8574658,0.463,3970066,2.016,8003653.056,1.371,10973008.34,Mobile,DE
2023-01-02,975779,0.199,194180,0.987,191655.66,0.78,149491.415,Mobile,CA
2023-01-02,712392,0.598,426010,1.666,709732.66,0.77,546494.148,Mobile,VN
2023-01-02,679829,0.749,509191,1.032,525485.112,0.811,426168.426,Desktop,VN
2023-01-02,1947427,0.276,537489,1.889,1015316.721,1.269,1288436.919,Desktop,FR
2023-01-02,1969081,0.825,1624491,0.214,347641.074,0.776,269769.473,Mobile,SG
2023-01-02,5036265,0.498,2508059,2.341,5871366.119,1.171,6875369.725,Mobile,TR
2023-01-02,1169838,0.516,603636,2.193,1323773.748,1.326,1755323.99,Desktop,PL
2023-01-02,6848556,0.689,4718655,2.125,10027141.875,0.951,9535811.923,Desktop,VN
2023-01-02,9286964,0.266,2470332,2.005,4953015.66,1.145,5671202.931,Desktop,IN
2023-01-02,4831121,0.208,1004873,1.789,1797717.797,1.076,1934344.35,Mobile,CN
2023-01-02,3089770,0.354,1093778,2.232,2441312.496,1.428,3486194.244,Mobile,UK
2023-01-02,4075997,0.411,1675234,1.806,3025472.604,0.966,2922606.535,Desktop,UK
2023-01-02,4620166,0.461,2129896,2.286,4868942.256,0.908,4420999.568,Mobile,UK
2023-01-02,6398032,0.021,134358,2.088,280539.504,0.793,222467.827,Mobile,AU
2023-01-03,479035,0.712,341072,2.293,782078.096,1.27,993239.182,Mobile,AU
2023-01-03,1851824,0.955,1768491,0.427,755145.657,0.882,666038.469,Desktop,NL
2023-01-03,1189233,0.086,102274,0.224,22909.376,0.872,19976.976,Desktop,ES
2023-01-03,6176688,0.662,4088967,1.089,4452885.063,1.131,5036213.006,Mobile,ES
2023-01-03,8856644,0.217,1921891,0.909,1746998.919,1.372,2396882.517,Desktop,GR
2023-01-03,5433259,0.283,1537612,0.101,155298.812,0.784,121754.269,Mobile,AT
2023-01-03,9912479,0.653,6472848,1.753,11346902.544,0.926,10507231.756,Mobile,UK
2023-01-03,9404104,0.586,5510804,1.119,6166589.676,1.056,6511918.698,Desktop,EG
2023-01-03,67738,0.807,54664,2.312,126383.168,1.534,193871.78,Mobile,AR
2023-01-03,8924976,0.36,3212991,0.313,1005666.183,1.05,1055949.492,Desktop,CN
2023-01-03,8499158,0.19,1614840,1.275,2058921.0,1.151,2369818.071,Mobile,GR
